maintenance_date,car_id,duration_hours
2012-01-09,c1e2297c,6.302991470713074
2014-11-26,740760a0,7.4135549225332085
2010-01-16,bdf1760b,3.7786157398557267
2016-02-03,bdf1760b,6.093042159168746
2018-09-14,c1e2297c,7.000645328606969
2013-12-15,a6c83ab6,6.539354566202741
2010-07-28,510d2257,4.968967454436664
2014-12-01,a6c83ab6,5.681979815916354
2016-04-09,a6c83ab6,2.0942681219533945
2018-12-08,740760a0,3.752937749068449
2012-11-13,510d2257,6.712080310225518
2011-08-30,c1e2297c,6.39895556379247
2010-07-14,c1e2297c,7.824472753969798
2013-01-12,510d2257,3.028494937254557
2013-11-14,510d2257,5.325220292083352
2010-02-17,510d2257,6.195570604895571
2018-10-01,a6c83ab6,7.606522391206469
2019-02-05,17f29fae,2.851830299478606
2012-01-03,e85c3238,1.4392833688447122
2011-01-21,17f29fae,3.0440826450490235
2009-06-03,17f29fae,7.919892168086675
2010-04-26,17f29fae,4.175382511901517
2018-03-01,e85c3238,3.5696323361602245
2010-12-03,17f29fae,4.86421778989072
2013-07-01,04a056eb,7.986960980360491
2012-07-16,04a056eb,2.04810197823399
2016-07-25,c777af50,4.402557432991868
2012-11-08,04a056eb,4.193138366138671
2011-12-05,04a056eb,2.473049646798107
2011-05-06,9b096c9c,5.021566542811902
2010-04-22,c777af50,1.4708860772133132
2013-01-26,c777af50,1.992787752286609
2013-07-19,9b096c9c,7.110968127035903
2017-08-31,9b096c9c,6.661798164395447
2013-05-06,04a056eb,4.639624266024129
2014-09-02,e85c3238,1.9275611226399738
2014-02-23,17f29fae,2.0726636970215564
2012-11-16,c777af50,7.123134714501542
2010-10-31,9b096c9c,5.467607426546171
2017-05-20,17f29fae,4.534999209269374
2012-05-17,0803c8c2,4.980815239429676
2018-12-23,0803c8c2,6.040963313292649
2009-05-08,0803c8c2,1.711648908563174
2015-11-05,55f018ea,7.984538797689481
2013-11-20,0803c8c2,1.7234509369321567
2013-08-14,c9661a85,7.310477910027673
2016-01-06,55f018ea,3.3478076780229435
2012-07-07,0803c8c2,3.22417779353753
2017-12-19,0803c8c2,6.218203096473189
2010-04-07,59b94c5f,7.546540895237325
2011-02-24,0803c8c2,4.022195404312695
2011-03-16,f4100076,7.782297160228468
2015-12-15,f4100076,6.0751873418960525
2017-11-11,55f018ea,7.3489597183388025
2018-07-29,c9661a85,7.055855645612178
2009-06-14,0803c8c2,3.092804106375314
2010-09-15,55f018ea,1.8726711907092635
2013-05-20,55f018ea,7.119666198758182
2013-06-27,55f018ea,7.894912225792844
2010-08-31,55f018ea,2.2079963042718878
2009-03-08,0803c8c2,4.6955161245006956
2015-06-19,f4100076,3.763448999012884
2015-01-06,9a6b07f9,3.486658334894869
2016-06-21,428a30d0,6.248326471623354
2011-09-11,428a30d0,6.1029892196752735
2015-04-02,d3658b3c,4.253929385588066
2012-04-26,d3658b3c,3.664534719958576
2009-10-25,75a542e0,1.431853067837797
2012-11-14,9a6b07f9,7.691345074860854
2014-08-18,428a30d0,7.78159550155687
2016-12-26,9a6b07f9,3.0407050415756482
2014-08-25,d3658b3c,2.321504735988464
2018-05-17,5ae87469,3.5685071639125097
2017-03-28,5ae87469,1.5864837770825058
2009-04-11,d3658b3c,2.8728893531352107
2016-10-05,75a542e0,7.8176879094869935
2014-09-08,5ae87469,5.695839098583198
2012-12-04,d3658b3c,3.2828149504524595
2012-01-24,75a542e0,7.299052643868528
2017-02-21,5ae87469,5.021156857289705
2012-09-16,75a542e0,3.2324639135123587
2013-10-09,d3658b3c,5.269631052668032
2010-03-17,428a30d0,4.847107412520193
2018-08-28,9a6b07f9,2.4778912359827814
2010-08-05,98a45210,2.372154001214818
2015-10-19,e1484bad,4.811801020243889
2010-03-08,e1484bad,1.0323227676495401
2010-03-19,98a45210,5.727377945730371
2012-11-12,98a45210,2.988506922951032
2013-12-20,a89f7e0a,4.293162655102527
2012-02-18,98a45210,2.849310060335878
2017-09-17,e1484bad,4.472799076227961
2013-09-28,f5a191dc,4.693149992241555
2014-12-01,98a45210,3.653986739641599
